content_id,duration
1261217840,10
1261964134,52
1970982331,86
1970982025,87
1970982329,88
1970979189,90
1261217863,90
1970982621,101
1970978663,105
1970983111,106
1970981838,110
1970980960,112
1970979775,113
1970981156,121
1970985052,123
1970978692,124
1970990070,137
1970987991,139
1970981498,141
1970981089,147
1970979919,148
1970985037,148
1970989522,148
1970981576,155
1970980239,155
1970979059,155
1970982074,157
1970987215,158
1970985744,159
1970980234,166
1970982846,166
1970980203,167
1970981263,168
1970988037,170
1970989217,170
1970980223,170
1970981088,171
1104155182,174
1108372256,174
1105430726,174
1970989214,176
1970978694,177
1970981687,178
1970984374,180
1271321454,689
1271321454,689
1540029925,801
1970979893,894
1970980215,272
1970982329,88
1970989522,148
